Claim Settlement Time,Claim Approval Rate,Claims Handling Process,Service_score
15.41,89.16,0,2
7.54,85.25,1,2
22.69,88.96,2,1
16.46,83.73,2,1
6.71,87.81,2,1
29.71,95.8,2,1
3.01,80.06,1,2
27.99,89.77,2,1
3.8,92.43,2,1
28.54,81.88,1,0
11.23,90.78,1,2
6.22,88.33,2,1
9.62,84.04,0,2
26.88,92.39,1,0
13.45,86.93,0,2
4.72,82.2,2,1
9.48,80.29,1,2
13.59,80.87,1,2
20.42,85.77,1,0
13.31,84.17,2,1
17.11,84.77,0,0
26.07,99.23,0,0
18.17,91.15,2,1
3.58,89.94,1,2
22.4,83.09,0,0
17.3,96.98,0,0
17.12,83.07,0,0
15.09,93.48,0,2
26.55,98.59,0,0
17.86,90.3,0,0
26.77,88.15,1,0
25.12,85.11,0,0
2.92,85.68,2,1
12.69,82.26,1,2
21.18,97.52,0,0
10.46,81.05,0,2
4.77,99.26,2,1
4.33,80.05,2,1
17.77,91.44,0,0
24.9,83.43,2,1
13.08,95.64,0,2
15.21,81.7,2,1
26.35,96.59,2,1
27.48,92.92,1,0
18.92,81.85,1,0
20.85,91.1,2,1
27.19,84.15,2,1
26.97,80.57,0,0
18.95,81.97,1,0
25.16,90.47,0,0
1.58,81.91,0,2
14.65,94.49,1,2
27.68,91.03,1,0
26.24,95.9,2,1
7.73,84.84,2,1
3.24,90.64,1,2
26.31,99.36,0,0
11.53,99.28,2,1
15.98,96.66,0,0
10.18,97.31,1,2
11.23,92.47,1,2
5.34,90.14,1,2
26.17,94.13,1,0
19.28,91.61,0,0
12.42,91.94,1,2
14.86,80.14,2,1
19.04,96.3,2,1
11.06,83.15,0,2
18.06,99.44,2,1
20.07,86.04,2,1
26.93,88.5,0,0
28.32,92.75,2,1
28.63,83.85,2,1
22.58,80.89,2,1
4.11,86.32,1,2
2.21,81.46,1,2
7.53,80.97,0,2
13.46,97.32,2,1
26.17,94.78,0,0
9.15,90.63,1,2
10.47,83.74,1,2
25.68,81.44,1,0
17.46,90.44,2,1
5.44,85.65,1,2
20.12,89.19,0,0
8.68,85.77,1,2
22.03,84.21,2,1
6.62,96.04,2,1
11.07,98.59,1,2
24.84,84.54,0,0
14.42,92.36,0,2
7.74,81.8,1,2
5.64,83.1,2,1
9.29,83.03,1,2
14.13,95.99,2,1
24.52,95.35,2,1
13.9,97.81,1,2
8.14,94.89,1,2
24.73,81.62,1,0
4.94,83.21,2,1
14.37,93.97,0,2
7.48,89.0,0,2
2.97,82.89,1,2
13.03,93.45,1,2
14.11,97.45,0,2
17.85,99.79,1,0
24.25,94.76,0,0
23.11,99.51,0,0
14.64,93.38,1,2
1.19,98.2,0,2
14.49,92.46,1,2
16.98,90.47,2,1
11.45,92.94,2,1
18.28,93.27,1,0
14.66,90.54,0,2
12.73,85.14,2,1
17.41,88.0,1,0
5.89,95.04,0,2
28.29,89.21,1,0
29.11,81.4,0,0
21.08,84.04,1,0
4.48,91.18,0,2
15.48,80.63,1,0
22.44,90.31,2,1
18.46,87.41,2,1
1.71,93.72,1,2
19.0,94.24,0,0
27.13,98.01,1,0
7.05,98.13,1,2
4.4,80.27,1,2
25.48,98.58,1,0
27.11,90.24,1,0
7.53,89.55,2,1
8.9,93.83,0,2
10.04,92.64,1,2
28.92,87.87,1,0
5.48,99.27,0,2
24.09,84.69,2,1
20.49,97.4,0,0
3.3,98.83,0,2
10.56,92.27,2,1
9.31,96.62,1,2
15.15,82.06,0,2
1.03,84.62,0,2
9.56,99.45,2,1
27.29,92.14,1,0
10.89,94.93,0,2
28.0,98.03,1,0
24.43,81.37,0,0
27.02,87.21,1,0
29.99,83.29,0,0
24.53,96.38,0,0
19.7,85.75,0,0
26.82,87.78,1,0
16.17,88.7,2,1
23.04,97.38,2,1
20.56,99.43,2,1
23.85,80.87,0,0
15.17,92.86,1,2
14.56,89.62,2,1
20.29,95.06,0,0
28.74,94.95,1,0
10.79,88.51,0,2
6.36,92.81,2,1
22.37,80.41,1,0
5.23,81.67,2,1
29.89,95.75,0,0
1.14,87.01,2,1
5.51,92.09,2,1
3.7,93.49,0,2
22.85,98.22,0,0
29.99,92.9,0,0
17.13,96.53,1,0
16.2,93.66,2,1
2.07,95.83,2,1
27.07,90.25,2,1
12.14,85.92,0,2
5.48,84.56,1,2
27.9,93.37,2,1
16.68,97.83,1,0
3.9,89.9,1,2
8.12,83.85,0,2
11.84,93.32,2,1
8.89,97.59,1,2
15.54,94.61,2,1
1.72,89.54,1,2
19.14,85.73,0,0
20.8,83.03,0,0
4.2,97.41,0,2
4.25,93.9,2,1
2.24,81.21,2,1
26.92,95.8,1,0
19.61,98.69,0,0
9.3,96.17,0,2
26.29,84.21,0,0
28.07,81.57,0,0
25.77,90.55,2,1
17.45,81.21,1,0
26.4,92.42,0,0
4.17,92.45,2,1
26.96,87.64,2,1
8.06,86.41,0,2
28.74,89.74,0,0
7.58,91.1,1,2
21.66,90.87,0,0
13.84,93.14,2,1
15.12,85.2,0,2
12.99,91.21,0,2
26.71,96.06,0,0
22.46,82.69,1,0
5.41,94.39,0,2
1.58,92.5,1,2
20.79,84.11,0,0
13.45,87.4,2,1
27.89,96.23,2,1
21.13,94.19,0,0
12.6,94.23,2,1
29.45,99.68,1,0
19.8,88.05,0,0
4.3,87.77,2,1
26.2,97.43,0,0
13.44,81.65,2,1
12.64,91.5,0,2
22.41,85.0,2,1
20.42,98.45,1,0
7.05,85.26,0,2
5.97,99.17,2,1
5.22,94.66,1,2
22.26,95.17,0,0
1.12,89.85,0,2
9.49,86.29,2,1
10.54,92.95,1,2
10.81,86.31,0,2
13.61,99.25,1,2
28.58,93.22,1,0
29.21,88.76,1,0
19.66,94.07,1,0
27.56,90.24,1,0
2.02,93.95,1,2
18.06,89.62,1,0
13.09,94.0,2,1
13.19,90.71,2,1
26.64,83.17,1,0
10.75,82.69,0,2
24.68,91.86,1,0
19.18,88.96,2,1
19.79,81.47,0,0
21.82,81.44,0,0
4.39,92.52,0,2
26.3,96.4,0,0
24.23,80.53,2,1
5.77,98.34,2,1
14.87,85.12,1,2
21.89,80.22,1,0
24.79,91.1,2,1
5.0,86.3,1,2
11.14,84.43,2,1
13.11,92.53,2,1
15.58,90.7,1,0
6.15,89.7,0,2
28.19,82.33,2,1
24.15,96.67,0,0
10.74,84.94,1,2
24.28,91.34,2,1
4.01,92.84,0,2
1.77,89.81,1,2
4.02,87.88,0,2
17.69,98.21,0,0
3.83,95.86,0,2
6.11,99.0,1,2
21.93,86.26,2,1
9.97,89.7,2,1
22.74,83.91,1,0
8.76,87.44,0,2
1.89,82.6,1,2
21.13,82.5,1,0
23.92,85.36,2,1
8.25,96.16,1,2
20.79,94.56,0,0
22.88,95.83,2,1
10.18,95.7,0,2
29.73,88.02,2,1
8.18,86.41,0,2
16.08,92.31,1,0
7.9,90.59,1,2
29.5,87.41,1,0
27.76,92.91,1,0
12.34,83.48,1,2
20.8,97.7,0,0
18.62,80.49,2,1
7.15,92.47,0,2
11.14,89.99,1,2
25.44,90.86,2,1
23.72,94.91,2,1
8.37,98.81,2,1
17.22,83.48,1,0
4.68,95.89,0,2
27.7,84.63,1,0
6.33,98.44,1,2
22.49,85.2,0,0
29.16,83.68,0,0
16.66,86.31,1,0
6.18,94.19,2,1
22.56,91.09,0,0
15.81,85.24,1,0
20.59,87.68,1,0
27.82,96.23,1,0
13.33,81.7,0,2
16.62,88.77,2,1
13.47,81.69,0,2
4.87,90.81,2,1
19.67,80.09,1,0
7.35,81.08,0,2
24.7,85.4,0,0
11.78,82.95,1,2
22.97,85.27,0,0
8.82,83.01,0,2
12.77,92.85,1,2
21.99,80.62,2,1
23.05,96.31,2,1
22.57,96.72,1,0
22.95,94.3,2,1
4.79,86.33,2,1
11.67,94.85,2,1
5.99,96.32,0,2
15.89,97.62,2,1
9.6,90.53,0,2
28.07,98.12,1,0
10.1,81.31,1,2
7.34,93.92,0,2
21.17,91.04,2,1
1.62,85.28,0,2
1.68,83.41,0,2
6.14,87.77,0,2
16.22,83.89,1,0
9.66,93.45,0,2
9.62,98.85,0,2
28.18,91.06,0,0
6.2,90.42,0,2
14.18,85.68,2,1
2.13,81.08,0,2
22.24,84.42,1,0
7.79,89.47,2,1
14.2,88.24,2,1
13.13,99.07,1,2
23.98,90.71,1,0
4.48,91.57,2,1
16.89,88.22,2,1
22.83,89.67,2,1
3.53,90.27,1,2
3.7,81.25,0,2
25.67,91.93,1,0
8.25,84.88,1,2
20.33,90.11,0,0
27.36,95.55,0,0
27.49,88.97,2,1
16.1,84.73,0,0
6.77,92.14,2,1
25.17,99.25,1,0
16.71,94.39,1,0
8.37,85.04,2,1
11.6,84.13,1,2
21.12,82.11,0,0
12.48,89.59,0,2
23.71,83.89,0,0
9.24,86.74,0,2
16.84,90.49,2,1
25.17,92.44,1,0
27.42,87.8,2,1
5.76,81.04,0,2
4.02,83.56,0,2
12.05,90.86,1,2
8.21,84.08,1,2
12.23,82.81,0,2
8.54,85.72,2,1
25.33,85.33,1,0
23.41,83.95,0,0
13.54,86.75,1,2
24.83,85.14,0,0
25.8,80.57,2,1
5.55,99.33,1,2
9.16,89.24,1,2
10.13,89.86,1,2
27.22,80.46,2,1
27.25,80.86,1,0
26.72,94.46,2,1
14.84,85.1,2,1
14.23,94.12,2,1
11.32,93.1,0,2
13.79,82.48,1,2
26.32,96.43,0,0
19.84,80.49,0,0
1.73,86.63,1,2
14.73,90.48,2,1
5.22,97.65,0,2
20.08,86.92,0,0
19.56,93.8,0,0
10.14,86.92,0,2
23.32,89.84,0,0
8.87,89.87,2,1
18.67,98.92,1,0
27.53,97.56,0,0
26.98,91.71,2,1
15.7,80.5,1,0
21.37,89.49,1,0
26.79,84.62,0,0
25.1,93.21,2,1
24.83,85.98,1,0
3.94,83.5,1,2
6.34,84.06,2,1
9.79,85.98,2,1
2.48,88.49,0,2
4.1,81.31,0,2
18.19,83.61,0,0
5.65,87.77,2,1
27.07,84.98,1,0
11.68,97.09,0,2
16.09,89.18,0,0
16.15,87.51,1,0
25.95,98.22,0,0
5.48,95.66,2,1
17.2,97.54,1,0
26.0,83.24,0,0
28.42,82.5,1,0
19.91,83.94,2,1
24.46,91.74,1,0
22.58,90.9,1,0
29.66,95.64,2,1
18.03,87.96,0,0
6.21,81.32,1,2
4.07,81.92,2,1
29.25,85.36,0,0
28.69,96.24,2,1
23.97,95.95,1,0
10.66,99.97,0,2
10.44,86.15,1,2
9.96,90.71,1,2
28.02,89.5,1,0
19.54,99.93,0,0
14.44,98.43,1,2
23.61,94.39,0,0
11.44,90.88,1,2
17.53,92.17,1,0
6.15,80.8,1,2
28.63,82.8,1,0
24.73,84.15,0,0
21.18,80.55,0,0
12.3,99.6,0,2
22.16,99.06,2,1
4.7,87.72,1,2
27.34,98.9,0,0
28.86,98.53,0,0
26.84,86.11,1,0
18.9,87.35,1,0
7.67,86.1,0,2
2.85,86.27,0,2
11.43,92.08,2,1
15.25,84.41,2,1
1.7,84.17,2,1
29.24,95.7,1,0
16.81,89.24,0,0
23.66,95.61,1,0
2.48,98.46,2,1
15.95,93.51,0,0
14.58,94.36,1,2
13.64,95.88,0,2
4.7,85.6,2,1
2.01,92.73,0,2
11.52,84.26,1,2
24.46,95.4,0,0
8.86,96.87,0,2
17.57,90.06,2,1
18.61,94.56,2,1
6.69,98.8,1,2
24.61,86.85,1,0
24.34,95.64,0,0
6.86,96.76,2,1
16.53,96.22,0,0
4.63,97.8,2,1
26.76,89.7,0,0
7.65,92.23,0,2
15.95,87.04,1,0
8.49,86.64,1,2
14.8,83.35,1,2
19.19,93.9,1,0
23.53,90.68,2,1
22.39,84.17,1,0
21.64,96.3,0,0
22.88,81.2,2,1
16.28,98.2,0,0
14.6,94.72,0,2
12.16,92.61,1,2
18.62,97.11,0,0
26.24,81.29,1,0
7.34,92.8,0,2
20.95,95.8,2,1
24.33,80.93,2,1
25.87,99.58,1,0
2.58,90.8,0,2
23.12,86.17,2,1
10.57,87.59,2,1
21.73,98.02,0,0
7.0,95.4,1,2
5.77,82.14,0,2
10.17,83.1,1,2
13.99,84.75,1,2
22.74,91.76,0,0
6.73,95.53,1,2
23.52,84.37,0,0
26.84,94.87,1,0
23.89,89.06,2,1
4.24,82.14,0,2
12.97,99.17,0,2
12.72,97.92,0,2
7.74,95.52,0,2
22.13,92.08,2,1
6.08,95.34,1,2
9.98,91.97,0,2
7.33,91.39,1,2
13.82,80.74,1,2
23.77,82.97,2,1
15.11,83.21,0,2
20.74,90.75,1,0
6.35,98.05,0,2
8.82,84.75,1,2
3.65,98.48,0,2
6.05,81.29,2,1
2.92,84.33,1,2
11.7,86.4,1,2
8.63,92.26,0,2
8.85,83.71,0,2
28.82,95.45,0,0
24.5,98.61,1,0
16.1,93.97,1,0
18.98,82.07,1,0
10.02,82.82,0,2
20.63,91.64,0,0
24.82,96.58,1,0
10.42,86.9,2,1
20.08,83.59,1,0
9.08,81.95,0,2
5.31,85.82,0,2
14.31,88.53,1,2
14.86,88.69,1,2
22.7,82.86,0,0
18.64,87.69,2,1
7.93,87.86,2,1
11.0,80.91,2,1
3.73,85.02,0,2
12.3,88.7,2,1
26.59,88.09,2,1
29.49,80.93,0,0
17.6,80.54,2,1
5.54,80.13,0,2
24.09,81.8,0,0
15.76,89.41,2,1
9.28,99.92,2,1
28.08,90.45,0,0
13.41,83.72,0,2
12.33,88.56,2,1
20.63,83.18,1,0
20.16,96.73,2,1
7.47,92.05,0,2
14.82,90.03,2,1
17.91,90.62,2,1
29.14,97.38,2,1
8.03,83.06,1,2
8.78,99.63,1,2
6.85,98.8,0,2
21.65,93.48,1,0
1.21,89.46,0,2
17.03,91.8,2,1
7.62,88.8,2,1
17.32,88.2,2,1
2.91,88.9,0,2
16.76,98.59,0,0
12.37,82.69,2,1
4.89,88.77,1,2
18.48,83.14,2,1
22.73,93.21,2,1
7.02,97.23,0,2
15.08,99.22,0,2
16.29,89.89,1,0
3.81,96.08,1,2
15.3,81.72,2,1
25.71,95.09,0,0
7.09,94.46,0,2
6.74,93.96,2,1
14.64,85.53,2,1
8.16,94.29,1,2
14.52,99.97,1,2
11.14,84.81,0,2
6.42,92.89,2,1
18.17,90.34,1,0
6.71,85.72,2,1
23.05,80.33,0,0
3.56,84.91,2,1
4.34,99.65,2,1
7.48,85.98,1,2
3.41,97.34,0,2
20.51,80.07,2,1
13.02,90.66,1,2
15.98,93.03,1,0
10.37,85.24,1,2
27.4,80.76,1,0
8.72,96.41,0,2
11.36,90.39,1,2
16.59,82.8,0,0
7.53,84.66,0,2
23.25,98.96,1,0
28.47,95.45,0,0
12.7,84.11,2,1
17.31,96.07,2,1
26.75,82.85,2,1
8.54,86.8,2,1
21.85,85.69,2,1
26.67,99.53,2,1
17.99,83.02,1,0
26.57,92.74,0,0
28.72,99.09,0,0
22.8,98.45,0,0
2.22,80.31,1,2
28.39,97.78,1,0
11.99,84.79,1,2
1.24,80.87,1,2
12.18,96.05,2,1
19.75,81.82,0,0
2.04,80.51,1,2
26.53,89.87,1,0
23.97,92.3,0,0
13.95,83.39,1,2
14.49,87.9,0,2
17.95,95.47,1,0
12.65,81.89,1,2
10.93,98.34,2,1
29.89,83.98,1,0
16.61,84.94,0,0
21.14,98.92,0,0
22.87,93.29,2,1
17.17,99.01,2,1
7.99,87.55,0,2
4.89,85.37,2,1
3.98,95.73,0,2
29.31,88.27,1,0
4.29,82.75,0,2
21.54,83.98,2,1
14.12,97.75,0,2
28.32,84.11,1,0
27.23,92.12,1,0
26.38,89.8,0,0
17.8,91.37,2,1
8.39,84.78,1,2
10.12,94.21,1,2
14.57,80.08,1,2
21.3,80.96,1,0
20.57,97.35,0,0
20.65,92.02,0,0
29.85,80.53,0,0
29.7,80.4,0,0
29.58,83.15,2,1
28.33,98.64,1,0
19.83,80.26,2,1
9.11,86.81,2,1
12.06,99.14,2,1
16.65,83.12,1,0
9.51,80.28,0,2
22.67,80.51,2,1
1.9,84.74,1,2
10.17,89.78,0,2
6.32,85.79,2,1
9.94,81.51,2,1
21.49,86.71,2,1
20.13,84.15,1,0
9.17,89.82,0,2
26.01,89.13,1,0
19.22,88.46,0,0
26.12,88.85,1,0
8.88,82.51,2,1
3.54,84.55,2,1
23.68,81.49,1,0
2.95,88.31,0,2
18.37,91.88,0,0
19.05,98.43,0,0
15.49,89.49,0,2
20.93,97.17,0,0
24.57,80.08,1,0
27.16,86.95,2,1
17.95,96.89,1,0
21.87,92.85,1,0
12.14,94.46,1,2
7.16,82.01,0,2
20.68,91.11,1,0
21.79,89.02,1,0
22.72,94.68,0,0
6.89,81.71,2,1
17.28,80.43,1,0
6.59,95.06,1,2
13.63,87.36,2,1
18.66,83.89,1,0
23.13,95.32,2,1
11.21,91.78,0,2
1.64,88.74,0,2
29.86,98.93,2,1
18.36,95.26,0,0
5.45,97.16,2,1
22.93,85.05,2,1
22.38,86.1,0,0
28.63,99.02,1,0
4.65,87.01,0,2
22.08,99.15,1,0
1.75,81.83,2,1
7.26,81.71,2,1
19.39,93.96,0,0
8.93,84.67,1,2
2.07,83.08,0,2
10.32,87.72,1,2
19.23,96.88,0,0
10.03,82.6,2,1
29.73,99.5,1,0
17.14,98.59,2,1
9.36,93.41,0,2
11.39,84.49,0,2
10.31,86.46,0,2
10.92,92.64,0,2
7.79,87.33,0,2
25.61,93.05,0,0
3.38,91.16,1,2
6.87,89.86,0,2
7.04,82.49,2,1
24.73,90.04,1,0
2.9,81.49,0,2
7.48,90.45,1,2
25.59,83.28,1,0
18.97,81.85,0,0
4.94,94.69,2,1
1.1,84.27,1,2
19.36,94.46,1,0
15.16,96.32,2,1
8.27,97.37,0,2
16.01,95.65,1,0
24.29,94.24,1,0
13.26,85.0,0,2
13.42,80.46,1,2
4.49,98.74,0,2
28.76,90.73,2,1
21.64,90.39,0,0
3.78,93.28,0,2
6.74,97.09,2,1
8.87,86.49,2,1
11.28,83.13,1,2
7.93,83.05,0,2
28.17,92.69,2,1
22.06,87.41,0,0
13.96,91.15,0,2
25.4,99.36,2,1
17.44,84.03,1,0
19.01,99.17,2,1
28.31,88.92,1,0
15.29,98.24,0,2
2.38,85.17,1,2
2.42,94.96,1,2
5.64,94.6,0,2
27.77,97.69,2,1
14.16,95.41,0,2
4.5,90.91,0,2
12.36,97.11,0,2
2.51,95.64,0,2
16.72,95.44,2,1
29.68,96.07,1,0
17.45,90.62,1,0
4.22,86.62,2,1
19.69,99.06,2,1
26.89,88.53,0,0
14.86,86.44,2,1
26.58,81.03,1,0
10.68,89.0,0,2
29.47,83.03,2,1
6.76,88.12,0,2
15.53,86.4,2,1
29.46,98.2,0,0
5.11,86.35,0,2
6.81,87.19,1,2
26.45,89.22,1,0
10.94,95.88,2,1
5.24,87.98,0,2
2.94,85.04,1,2
8.76,82.8,2,1
2.43,90.75,2,1
16.37,87.08,2,1
28.29,88.58,1,0
2.08,96.42,2,1
29.05,81.52,1,0
17.36,94.23,1,0
6.74,81.84,2,1
21.88,99.76,2,1
12.09,92.48,0,2
17.64,93.38,1,0
