Digital Engagement Score,Use of Technology,Fraud Detection Efficiency,Comfort_score
78.13999999999999,0,74.62785000000001,3
9.21,1,63.01344,2
43.35,0,74.684568,2
70.06,0,95.217999,3
97.22999999999999,0,41.28592800000001,1
17.18,1,1.906172,0
84.28,0,11.231285,1
9.030000000000001,2,5.739369999999999,0
44.96,2,76.80619,2
25.91,2,5.342463,0
94.11,0,26.677114,1
12.0,0,70.976693,2
65.37,1,21.033525,1
14.12,1,69.376864,2
42.77,1,77.485753,2
4.69,0,59.52375,2
29.32,1,5.421351,0
78.0,2,12.350172,1
37.32,2,33.048708,0
21.66,2,14.449337,0
55.09,1,13.91962,1
50.52,2,57.23600999999999,3
61.97,2,42.84666200000001,3
17.22,0,16.032924,0
59.7,2,7.22594,1
84.19000000000001,2,8.741062000000001,1
71.98,0,96.65449400000001,3
65.66,0,56.21562,3
93.85000000000001,0,14.985927,1
85.32,2,58.83207400000001,3
29.43,1,88.758853,2
24.75,1,17.868894,0
11.64,0,34.044514,0
100.32,2,19.967472,1
33.59,0,84.87382,2
69.46,0,51.412692,3
64.22,2,65.85137,3
78.92999999999999,0,31.24132000000001,1
93.78999999999999,2,72.12478,3
11.44,0,59.05317599999999,2
27.37,2,0.461188,0
55.86,0,54.51904,3
94.46000000000001,0,61.665396,3
52.04,0,53.076583,3
37.95999999999999,1,18.815448,0
60.98,0,72.311454,3
69.44,0,29.105926,1
89.84,2,31.6535,1
34.70999999999999,1,86.644296,2
15.73,0,20.423685,0
11.26,0,18.741156,0
23.67,1,3.12741,0
66.97,2,24.594375,1
9.23,1,79.66158899999999,2
55.13,0,1.13893,0
28.03,1,48.87756,2
91.81,0,4.008190999999999,1
41.44,0,46.517169,0
21.55,0,77.932906,2
13.6,1,17.044864,0
26.53,2,41.92692,0
74.83,2,59.66416300000001,3
59.42,2,7.762875,1
20.33,1,0.827392,0
84.38000000000001,0,43.54014599999999,1
22.5,0,57.22205999999999,2
63.15,2,18.57008,1
49.38,0,55.72322999999999,2
36.59,1,75.607051,2
100.72,0,7.396731000000001,1
23.89,1,44.341667,2
51.5,1,44.22015200000001,2
49.63,0,17.306868,0
40.89,1,90.56992400000001,2
91.49,2,37.044363,1
88.77000000000001,2,16.307244,1
65.77,1,80.154814,3
47.63,0,69.08371900000002,2
84.21,1,54.48753900000001,3
18.37,2,79.11914,2
67.78999999999999,1,57.60949400000001,3
76.11,0,65.79683800000001,3
47.13,2,56.79950000000001,2
13.34,0,47.703357,0
5.279999999999999,0,46.982936,0
71.2,0,17.068127,1
46.8,2,9.663293,0
76.75999999999999,1,85.2175,3
86.18,0,0.4529819999999999,1
5.07,1,3.190578,0
20.71,1,70.74273600000001,2
59.18,2,1.01519,1
42.41,2,96.01521699999999,2
53.4,0,42.88307400000001,0
27.65,0,8.899767,0
70.06,0,57.78269099999999,3
68.67,0,86.761574,3
44.88,2,37.402948,0
25.39,0,81.71753700000001,2
79.53,2,77.2717,3
81.38,2,15.81606,1
45.97,2,50.596014,2
71.69,0,94.307976,3
24.47,1,33.09392,0
68.97,1,26.197884,1
14.79,0,58.874392,2
100.14,1,51.63444,3
25.81,0,22.010652,0
1.44,1,43.908999,2
28.34,1,9.420955,0
49.84,2,8.06715,0
77.44000000000001,0,8.56928,1
92.78,0,51.945168,3
31.13,0,41.256215,0
15.39,0,12.33747,0
57.97,0,23.47008,1
52.28,2,7.492747999999999,0
31.17,2,23.46804,0
31.61,1,24.921768,0
101.3,0,81.00008100000001,3
103.88,2,45.165868,3
82.77000000000001,2,58.944116,3
27.62,1,61.10691300000001,2
38.18,0,53.167667,2
99.77,2,63.813456,3
43.22000000000001,1,32.91372,0
37.98,0,49.29684099999999,0
89.63,2,16.027346,1
66.25999999999999,1,71.10334399999999,3
77.04,1,3.616048,1
25.98,1,78.37299300000001,2
91.14,0,27.954632,1
87.59,1,18.613344,1
89.68,2,56.169036,3
98.94,2,48.28523999999999,3
45.02,2,68.196352,2
83.36,2,26.280344,1
58.36,2,19.605844,1
37.23,2,54.342495,2
50.06,0,15.678572,0
98.61,0,34.61043600000001,1
2.78,2,92.454422,2
13.19,0,9.71332,0
4.94,0,39.309252,0
63.46,0,20.764032,1
18.21,1,65.542656,2
73.69,0,3.547236,1
85.14999999999999,1,38.822452,1
10.29,2,38.029678,0
68.11,2,68.844613,3
62.37,1,42.921305,1
95.86,0,48.438,3
75.64999999999999,0,41.109981,1
30.69,0,74.969384,2
77.04,2,18.240285,1
21.49,1,37.78143600000001,0
44.99,2,45.99168,2
86.1,1,79.34436000000001,3
38.58,1,80.264766,2
5.73,2,82.44339599999999,2
72.81,0,66.42936499999999,3
94.08,0,87.628305,3
51.77,1,10.549376,1
49.66,1,91.424823,2
42.15000000000001,1,36.338883,0
43.97,0,22.133776,0
25.71,1,55.434634,2
56.77,1,5.523028,1
80.06,2,49.966077,3
60.25,1,16.601382,1
45.77,0,20.504224,0
88.17999999999999,2,58.19175,3
56.66,0,50.422743,3
58.83000000000001,1,81.206076,3
75.75999999999999,2,25.86005,1
32.51,1,72.63701800000001,2
55.49,2,96.018097,3
59.07,2,56.803194,3
9.6,1,63.85861800000001,2
82.72,1,47.293232,1
23.55,0,32.111128,0
28.44,0,45.80916,0
23.39,1,16.854428,0
66.0,2,22.14446,1
71.52000000000001,2,84.378259,3
44.54,1,70.278225,2
97.77999999999999,0,76.57596600000001,3
58.34,2,10.567869,1
63.56999999999999,2,7.20638,1
3.99,0,81.482596,2
26.43,1,64.802145,2
75.27,1,56.29211100000001,3
52.93,0,64.69091999999999,3
28.28,2,32.28635999999999,0
88.30000000000001,2,30.200628,1
12.15,1,15.234108,0
8.120000000000001,0,92.492495,2
97.07000000000001,1,12.86208,1
67.72,0,37.649298,1
5.880000000000001,1,73.16187599999999,2
8.17,2,32.998116,0
38.72,0,27.902325,0
83.78,1,9.518719999999998,1
89.13999999999999,0,17.533062,1
53.1,2,40.866774,3
63.09,2,59.02237999999999,3
63.68,0,17.669242,1
25.24,2,7.199553999999999,0
35.59,0,57.010824,2
45.53,2,72.48017599999999,2
80.56,1,84.116748,3
83.28,1,86.70472799999999,3
19.27,2,57.164008,2
86.95,2,82.467314,3
15.62,1,43.769255,2
31.44,2,81.26292000000001,2
54.34,0,64.09550700000001,3
18.3,0,7.698823999999999,0
40.74,2,8.83431,0
99.22,2,5.622555999999999,1
49.31,2,32.102399,0
13.79,2,82.30136200000001,2
30.39,0,85.95445,2
19.02,1,44.574264,2
14.77,2,47.386227,2
93.24,2,95.53499800000002,3
68.29,2,9.312147,1
76.82000000000001,2,58.425,3
85.83999999999999,1,56.077992,3
45.95,0,81.04425,2
77.14,0,84.95015500000001,3
61.19,1,58.206729,3
7.540000000000001,2,19.218024,0
99.83,2,82.103706,3
89.0,0,37.41842399999999,1
60.45,2,20.21387,1
85.47,0,88.95681200000001,3
6.41,1,32.06803,0
23.64,2,76.03236,2
78.86,2,36.684171,1
7.41,2,16.057956,0
39.05,0,56.78967000000001,2
13.21,0,3.467581,0
90.19000000000001,2,36.313136,1
78.67999999999999,0,16.296335,1
45.24,0,88.74051,2
6.799999999999999,2,80.11080000000001,2
43.29,0,12.431951,0
22.97,0,80.74045,2
80.67,1,64.559392,3
49.87,0,29.831622,0
37.09,0,50.211986,2
73.97,1,38.633132,1
89.45,2,58.66203,3
46.79,1,27.31848,0
64.86,2,65.632424,3
47.34,2,1.877904,0
47.09,0,43.83212,0
40.26,0,35.628876,0
79.54,1,55.75863,3
85.11,2,31.846668,1
27.97,1,30.025634,0
93.65,0,24.520865,1
77.56,1,69.742693,3
33.66,2,27.67394,0
20.14,2,58.878858,2
75.14,1,17.42067,1
44.55,1,37.691895,0
104.28,0,40.91956,1
39.63,2,25.55388,0
50.73,2,19.47,0
70.06,0,44.11190000000001,1
27.49,0,0.025155,0
78.14,1,26.734145,1
99.89,2,65.016224,3
16.89,2,29.032344,0
64.5,2,3.902754,1
57.12,0,75.977724,3
3.22,0,21.126462,0
86.67999999999999,1,55.438371,3
76.72,1,39.592272,1
46.43000000000001,1,45.272496,2
26.33,0,40.56234,0
82.77,0,81.547365,3
22.95,0,56.52862200000001,2
11.55,1,5.806628999999999,0
77.19,1,4.732602,1
82.6,2,38.828972,1
74.39,2,5.392873,1
15.7,0,19.706274,0
104.3,0,82.46824400000001,3
52.33,1,46.9532,2
37.65,2,29.26782,0
47.13,1,55.13192000000001,2
38.28,0,70.75422899999998,2
55.75,2,61.910755,3
65.2,0,20.657472,1
73.96000000000001,2,54.390948,3
27.39,0,80.387538,2
51.03,0,24.696728,0
65.61,0,0.7987449999999999,1
53.45,0,76.184,3
91.71,0,56.414934,3
69.74000000000001,2,26.175345,1
80.79,1,71.11901,3
69.14,0,32.052548,1
24.23,0,62.15308400000001,2
83.42999999999999,2,32.619378,1
39.3,2,54.851412,2
63.2,2,95.75482,3
28.62,0,62.53069799999999,2
38.82,0,53.56728699999999,2
4.37,2,30.595848,0
93.85000000000001,1,54.01265699999999,3
35.95,1,37.46545200000001,0
92.79,0,18.764856,1
33.0,2,1.1264,0
66.92,0,87.00912,3
24.23,1,87.79156099999999,2
59.85,0,18.24988,1
78.42999999999999,2,38.540744,1
47.84,0,28.849352,0
81.4,2,43.37893999999999,3
12.32,2,70.89335,2
72.82,0,83.555219,3
55.43,1,32.14596,1
5.76,0,90.46097599999999,2
6.3,2,7.830999,0
47.27,1,48.986496,2
76.62,1,44.573931,1
80.16999999999999,0,45.918564,3
38.66,2,45.61631999999999,0
40.24,1,16.665255,0
89.17,2,13.661648,1
12.26,1,7.124016,0
32.31,1,11.150703,0
46.72,0,88.876431,2
77.67,2,50.13648,3
94.91999999999999,1,35.46334,1
69.35,2,88.58132899999998,3
37.34,0,51.10835299999999,2
38.69,0,67.03495600000001,2
14.01,2,7.7957,0
34.46,0,7.649648,0
40.6,1,57.750615,2
83.00999999999999,1,71.813916,3
57.56,2,12.825043,1
68.25999999999999,0,20.703936,1
51.79,2,7.518588000000001,0
95.86,2,65.73889799999999,3
65.06,2,58.228039,3
44.97,2,54.869134,2
45.19,0,28.6062,0
86.85000000000001,2,46.628736,3
89.56,0,48.60760000000001,3
69.46000000000001,1,28.707624,1
2.92,0,78.778389,2
83.83,1,12.284153,1
57.69,0,34.014618,1
51.44,2,87.729018,3
54.21,0,31.41733,0
79.91,1,54.396855,3
33.25,0,31.907855,0
62.68,0,8.148718,1
22.38,1,55.756294,2
17.16,1,46.249721,2
14.34,0,20.729875,0
4.33,1,0.356741,0
14.81,1,60.41103999999999,2
23.28,0,50.185432,2
90.22999999999999,2,23.189742,1
22.99,0,21.32984,0
21.01,2,51.778692,2
86.38000000000001,0,10.274502,1
79.71,0,70.195475,3
62.93,1,68.310225,3
103.21,0,41.74852800000001,1
91.67999999999999,0,44.842168,1
49.22,2,74.406553,3
53.36,1,52.407531,2
82.33,2,19.82295,1
66.72,0,54.61989,3
22.67,1,15.883064,0
66.69999999999999,0,32.721927,1
37.99,0,28.108631,0
82.39,0,5.19332,1
93.8,0,74.97088500000001,3
86.4,1,15.659458,1
66.62,0,45.89959199999999,3
73.39,2,54.69675,3
68.36,0,76.19934299999998,3
37.42,1,80.46242,2
77.59,2,52.690591,3
69.56,1,27.475769,1
60.16,1,58.58489699999999,3
40.61,2,16.248744,0
47.15,0,69.424685,2
101.23,0,53.687931,3
58.17,0,47.531606,3
47.94,2,72.82286500000001,2
33.47,0,86.36045600000001,2
37.23999999999999,1,18.189305,0
55.7,1,70.230524,2
4.18,2,42.89899,0
10.55,1,12.212928,0
78.04,2,51.450536,3
14.27,2,60.918,2
5.68,0,21.033026,0
68.69,1,85.86803400000001,3
35.21,2,35.47401,0
68.1,1,46.19446600000001,1
50.52,1,61.2165,2
23.08,1,33.130929,0
78.06,1,33.84128,1
24.23,0,12.971804,0
49.2,0,8.872698,0
25.71,2,62.80429500000001,2
46.31,2,71.978928,2
15.46,1,38.997345,0
30.37,1,22.425235,0
31.77,2,10.7173,0
16.8,2,39.281815,0
93.47,2,73.3647,3
83.53,1,74.868,3
15.24,2,86.38987500000002,2
93.60000000000001,1,8.560104,1
28.25,1,72.20567700000001,2
20.64,2,40.732198,0
5.94,0,6.481077,0
39.75,2,74.14421999999999,2
94.09,1,38.433566,1
6.81,2,2.202915,0
27.78,0,50.914269,2
28.05,1,87.12165,2
6.4,2,64.592138,2
82.10000000000001,0,28.101416,1
81.02000000000001,1,61.68169899999999,3
98.15,0,83.15616,3
85.57000000000001,1,7.96696,1
66.02000000000001,2,42.264792,3
81.16000000000001,2,82.12780000000001,3
57.98,0,52.112895,3
25.23,2,67.891671,2
70.47,1,1.24035,1
56.35,2,31.654956,1
86.63999999999999,0,88.328384,3
24.65,2,27.952357,0
60.75,2,52.5288,3
5.91,0,62.52501599999999,2
16.2,1,88.99647999999999,2
69.87,2,21.82363,1
36.81,2,55.227744,2
84.17,0,9.771776000000001,1
3.81,1,20.327748,0
2.59,1,39.40985999999999,0
6.09,0,70.28272,2
70.46,2,78.629659,3
96.03,1,22.012887,1
82.09,1,28.62492,1
91.56,1,56.60967000000001,3
12.93,2,4.001238,0
57.42,2,1.35338,1
56.79,0,6.625319999999999,0
40.65,2,69.865966,2
18.84,0,20.777592,0
52.33,2,54.110525,3
8.5,2,23.850632,0
23.69,2,59.456334,2
43.71,1,78.50934000000001,2
4.52,2,56.12309999999999,2
37.21,0,81.99875600000001,2
83.33,2,74.43306000000001,3
70.57000000000001,1,5.185637999999999,1
88.58,2,19.044432,1
11.17,0,56.13495999999999,2
70.5,1,25.68225,1
60.95,2,53.375608,3
44.97,0,74.870176,2
14.56,2,41.880624,0
49.91,1,41.331479,1
93.74000000000001,0,54.77868,3
64.57,1,24.724818,1
80.45,1,17.428897,1
70.29,1,56.03217000000001,3
43.61,0,79.003539,2
53.46,0,16.905094,0
41.74,0,73.993524,2
80.47999999999999,0,31.580484,1
100.07,1,26.34969,1
75.91999999999999,1,26.91585599999999,1
28.11,0,1.830906,0
69.96000000000001,1,1.511832,1
4.72,0,30.57439,0
68.0,1,11.740367,1
73.52,0,55.116218,3
44.51,2,20.218856,0
84.97,2,62.069597,3
58.22,1,25.89678,1
3.59,2,47.831996,2
52.08,1,2.982,1
18.65,2,1.723808,0
93.6,1,18.1251,1
13.23,0,92.37213299999999,2
23.76,0,88.95849399999999,2
77.46000000000001,2,22.486312,1
19.16,0,75.36972800000001,2
16.29,1,62.482139,2
51.19,0,29.412,0
60.15,1,63.062208,3
63.65,2,1.87887,1
17.25,2,69.47873100000001,2
19.38,2,25.740926,0
12.48,0,21.332148,0
29.88,0,9.718520000000002,0
48.82,1,38.93673,0
35.96,0,72.411284,2
22.64,0,17.498508,0
74.14,1,5.283165,1
83.91,1,33.49761,1
73.54,1,12.289156,1
71.62,2,43.243512,3
45.31,2,63.26587000000001,2
19.71,1,61.31156599999999,2
77.74000000000001,1,92.36492999999999,3
49.13,0,66.93276799999998,2
51.95,0,55.867926,3
91.03,1,48.189119,1
41.73,1,7.339376000000001,0
15.9,0,3.228007,0
97.78,2,44.442944,3
81.14999999999999,2,86.11473600000001,3
87.67,0,26.658528,1
99.98,0,58.328613,3
60.02,0,87.38381199999999,3
34.41,1,48.631033,2
73.0,2,44.01495,3
97.52,0,14.84727,1
60.69,1,59.45307400000001,3
99.53,0,20.199828,1
13.05,2,7.908264000000002,0
25.99,2,71.544992,2
62.84,0,31.438008,1
95.12,0,8.275974999999999,1
55.1,2,87.154648,3
22.38,1,68.199788,2
43.35,1,49.291814,2
98.22,0,59.88678,3
22.4,0,26.121942,0
38.84,1,27.932205,0
57.34,2,45.31554,3
90.01,0,9.47375,1
51.63,0,51.80255500000001,2
64.13,2,38.883528,1
63.57,0,7.172756,1
66.83,1,87.34225499999998,3
63.79,2,84.28128099999999,3
47.39,0,63.191634,2
50.57,2,82.253378,3
43.01,2,85.28552499999999,2
74.08,2,34.046473,1
84.42,2,45.862072,3
84.84,0,17.456975,1
13.42,0,31.308543,0
58.91,1,35.24470600000001,1
20.81,1,60.946085,2
48.13,2,35.72820599999999,0
3.55,2,52.66518,2
100.33,0,91.534088,3
16.75,1,8.955599999999999,0
2.35,0,67.028184,2
1.82,2,79.657748,2
85.81,2,68.96274,3
60.47,2,74.89846399999999,3
91.0,2,19.336135,1
52.5,0,47.45459200000001,0
92.69,1,26.307239,1
89.44,0,42.47030500000001,1
64.23,1,7.5299,1
99.83,0,45.405162,3
95.36999999999999,0,27.764422,1
24.71,2,20.36265,0
54.32,2,40.29186,1
31.58,1,34.29057599999999,0
18.34,1,43.73001,2
48.69,2,50.998402,3
5.109999999999999,2,12.166448,0
93.22999999999999,2,62.82932999999999,3
30.86,2,1.327092,0
44.17,2,71.96629999999999,2
26.7,1,69.868808,2
75.48,0,35.524812,1
7.91,1,8.330715,0
89.92,1,48.019009,1
29.29,1,17.761224,0
6.5,2,23.016105,0
43.58,0,15.263152,0
13.29,0,24.44428,0
8.07,0,42.28658,0
18.51,0,44.102456,0
49.58,2,18.683973,0
9.07,1,20.397304,0
71.85000000000001,2,12.399876,1
83.17999999999999,0,72.854424,3
58.49,0,0.805,1
49.27,0,44.530224,0
53.85,2,80.549778,3
62.89,1,9.302358,1
20.29,0,15.381822,0
33.54,2,50.25865,2
54.95,0,33.24573,0
92.38,1,10.988244,1
52.6,1,1.132672,1
70.21000000000001,1,61.153251,3
32.37,2,48.192804,2
12.94,1,43.41104199999999,2
39.62,0,33.1422,0
82.98,1,65.42895100000001,3
93.15,2,39.310544,1
92.29,2,14.404146,1
8.57,2,17.97426,0
51.74,1,50.250198,2
55.94,1,9.11999,1
47.52,1,7.483276,0
78.92,2,4.1415,1
63.59,1,56.92810799999999,3
29.56,2,10.68771,0
10.34,0,89.25470999999999,2
82.18,0,62.09905200000001,3
83.31,0,51.2367,3
70.21000000000001,1,9.59576,1
5.91,1,67.403776,2
10.82,1,54.690152,2
24.77,0,12.164736,0
73.65,0,75.33994,3
4.32,1,86.60401099999999,2
89.55000000000001,2,29.454685,1
72.03,1,63.61492299999999,3
78.73,2,69.94425,3
29.24,2,58.04933700000001,2
21.67,1,45.57309,2
88.91,0,31.724479,1
58.54000000000001,2,71.904256,3
39.9,1,77.49653599999999,2
54.89,2,12.5644,1
84.37,1,63.00252,3
29.92,1,14.078295,0
62.24,2,38.64789,1
34.33,2,5.38836,0
87.75,1,19.277076,1
87.07,2,15.272052,1
75.97,1,63.92896,3
53.45999999999999,2,55.955187,3
31.58,2,23.792193,0
8.24,1,23.25257,0
38.76,1,12.02817,0
104.83,1,56.843303,3
23.77,0,24.843184,0
46.72,2,8.407236000000001,0
26.55,0,31.614252,0
23.98,1,58.91292000000001,2
27.16,2,75.684444,2
53.39,2,50.443836,3
82.63,1,36.174204,1
61.07,0,21.965499,1
89.52,2,56.00266000000001,3
95.25,0,39.50256,1
30.43,1,45.36799999999999,2
43.67,1,49.74037200000001,2
68.19999999999999,1,84.167314,3
58.03,0,40.02984000000001,1
75.05,1,17.426913,1
94.36,0,70.74213,3
99.14,0,21.9852,1
85.87,2,19.75012,1
97.71000000000001,1,10.19619,1
9.45,2,27.706908,0
9.54,1,81.829932,2
54.83,1,69.528572,2
75.68,1,12.92916,1
84.91,0,36.11322,1
47.89,0,78.238709,2
7.94,2,54.809088,2
7.85,0,70.11775200000001,2
15.19,0,63.237645,2
55.04,1,5.624610000000001,1
70.79,1,41.30474,1
92.21,0,36.260436,1
71.6,1,48.73743,3
89.19000000000001,2,59.44652,3
5.17,1,29.03774,0
69.81,1,6.677759999999999,1
83.27000000000001,2,12.400479,1
84.56,1,59.518719,3
30.18,2,70.600365,2
83.08,1,28.78656,1
99.96000000000001,2,77.27228,3
13.6,1,23.583002,0
100.68,2,31.756062,1
99.95,0,62.00732,3
79.61,0,58.86272700000001,3
94.64999999999999,1,21.293129,1
101.82,0,20.525388,1
19.4,0,73.53432000000001,2
33.98,0,22.604928,0
71.53,2,73.23602999999999,3
22.59,2,38.307,0
45.61,0,88.447464,2
50.76,2,24.159537,0
57.77,0,56.10605,3
44.42,1,62.813427,2
19.49,2,63.303848,2
50.96,2,53.69491800000001,3
95.68,1,74.684927,3
48.67,2,97.009344,2
41.24,0,39.25872,0
16.09,2,75.42272799999999,2
35.46,1,47.088426,2
11.12,1,52.50567300000001,2
2.27,0,14.594983,0
52.16999999999999,1,24.924438,1
43.34,2,51.557558,2
93.83999999999999,0,13.130538,1
72.64999999999999,2,87.97305,3
9.86,2,76.586855,2
21.83,2,32.66265,0
27.13,0,22.827664,0
35.16,2,56.667259,2
59.35,2,67.34593799999999,3
94.67999999999999,0,27.23328,1
94.49,0,29.652364,1
51.73999999999999,1,75.46456500000001,2
93.13,0,25.074715,1
28.22,2,55.941453,2
57.7,2,91.705323,3
45.03,0,78.352229,2
6.44,0,23.462906,0
101.66,2,26.227368,1
17.54,0,39.510878,0
73.41,0,39.30487,1
75.28,0,6.553456,1
50.98,0,34.95987,0
90.09,1,64.33067199999999,3
90.73,2,41.08677299999999,1
91.67999999999999,2,49.719614,3
35.46,2,64.141926,2
53.12,1,25.359948,1
25.14,2,5.825118,0
13.32,0,54.89743499999999,2
12.23,0,48.25735199999999,0
10.78,1,43.65814,2
55.55,0,3.276948,0
77.68,2,39.234864,1
12.57,2,6.298228,0
93.47,2,71.41986899999999,3
42.69,1,23.98376,0
74.92,0,82.74001400000002,3
41.02,0,31.234992,0
86.06,2,51.475095,3
88.80000000000001,0,34.048924,1
65.35,1,42.588504,1
23.95,1,58.034686,2
46.88,1,84.658096,2
67.17999999999999,1,15.44599,1
26.19,0,28.143378,0
44.88,2,0.8246420000000001,0
28.58,0,90.943182,2
40.36,0,49.495454,0
48.41,0,15.621984,0
40.08,1,25.7374,0
59.83000000000001,0,83.55242399999999,3
18.5,2,48.075804,2
44.6,0,87.0723,2
67.54,1,21.978,1
91.25,2,81.17928,3
86.56,2,13.07719,1
45.79000000000001,2,92.50699700000001,2
96.71,0,21.515938,1
40.59,0,71.388834,2
19.17,2,23.36234,0
101.42,0,43.603638,1
56.31,2,68.35269,3
22.97,1,45.234398,2
95.12,1,39.5516,1
14.85,2,10.539976,0
83.83,2,1.06236,1
79.52,0,90.002685,3
47.15,1,55.627494,2
57.94,0,81.566676,3
63.21,2,82.698957,3
74.87,0,57.87520200000001,3
91.13000000000001,0,85.90422099999999,3
64.89,2,82.901775,3
25.93,1,67.354539,2
76.16999999999999,0,90.168354,3
79.08,1,15.592468,1
95.33999999999999,0,44.631348,1
23.75,1,77.488866,2
4.71,1,74.83715000000001,2
39.37,2,5.322162000000001,0
41.54000000000001,0,88.121902,2
24.53,1,67.2588,2
52.75,0,84.90308999999999,3
85.05,1,27.639213,1
47.85,1,43.77074,2
22.91,0,53.05932000000001,2
56.42,1,94.076878,2
58.02,1,12.907692,1
5.109999999999999,0,63.06876,2
15.0,0,44.53116,0
47.92,2,58.73276,3
64.46000000000001,1,14.1266,1
19.06,1,73.461674,2
67.19,0,35.555507,1
21.76,1,19.40347,0
81.85,0,45.136,3
72.02,2,0.6083989999999999,1
46.18,1,95.329834,2
98.57000000000001,2,57.026438,3
54.44,1,54.039598,2
