premium_rate_max,premium_rate_min,premium_rate_mean,premium_rate_num,coverage_Limits_max,coverage_Limits_min,coverage_Limits_mean,coverage_Limits_num,coverage_Limits_step,premium_rate_step,valuable cargo insurance,open cargo policy,warehouse-to-warehouse cargo insurance,named perils cargo insurance,all-risk cargo insurance,voyage policy
4682.9,2338.61,3384.5116666666668,6.0,961892.0,203474.0,655441.1666666666,6.0,126402.0,389.7149999999999,1.0,1.0,1.0,1.0,0.0,1.0
4664.68,2042.29,2759.4833333333336,6.0,788306.0,237091.0,614886.0,6.0,91868.16666666667,436.06500000000005,1.0,0.0,0.0,1.0,0.0,1.0
1338.13,1338.13,1338.13,1.0,195894.0,195894.0,195894.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4940.15,1447.93,2963.2083333333335,6.0,890212.0,252281.0,527334.0,6.0,106320.83333333333,581.0366666666665,1.0,1.0,1.0,0.0,1.0,1.0
3985.66,1640.66,3091.31,3.0,851396.0,424436.0,583813.6666666666,3.0,142319.0,780.6666666666666,1.0,0.0,1.0,0.0,0.0,1.0
4151.85,2309.93,3188.192,5.0,789499.0,222609.0,500192.0,5.0,113377.0,367.3840000000001,1.0,1.0,1.0,1.0,0.0,1.0
4920.91,1020.59,2674.422,5.0,416490.0,126787.0,246465.6,5.0,57939.6,779.064,1.0,1.0,0.0,0.0,1.0,0.0
4946.06,3146.34,3888.2840000000006,5.0,882185.0,216237.0,594088.6,5.0,133188.6,358.9440000000001,0.0,1.0,1.0,1.0,1.0,0.0
4348.96,2526.66,3332.3116666666665,6.0,625323.0,225478.0,428124.0,6.0,66639.83333333333,302.7166666666667,1.0,0.0,1.0,1.0,1.0,0.0
1934.51,1113.96,1447.6466666666668,3.0,839955.0,133403.0,545712.0,3.0,235516.33333333334,272.51666666666665,1.0,0.0,1.0,0.0,1.0,0.0
3629.11,2096.29,2975.7566666666667,3.0,871982.0,324584.0,680105.0,3.0,182465.0,509.94000000000005,0.0,1.0,0.0,1.0,0.0,0.0
4523.57,1460.29,3592.9125,4.0,978115.0,117854.0,549155.25,4.0,215064.25,764.8199999999999,1.0,0.0,1.0,1.0,1.0,0.0
3930.12,1727.61,2409.9175,4.0,613623.0,143460.0,282485.25,4.0,117539.75,549.6275,0.0,1.0,0.0,1.0,0.0,0.0
1631.35,1037.75,1246.1066666666666,3.0,713158.0,199907.0,376589.6666666667,3.0,171082.66666666666,196.86666666666665,1.0,0.0,0.0,0.0,1.0,0.0
4967.41,1898.94,3998.618,5.0,786432.0,457702.0,562514.8,5.0,65745.0,612.694,0.0,0.0,1.0,1.0,1.0,1.0
3790.5,3790.5,3790.5,1.0,428715.0,428715.0,428715.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4848.21,1729.46,3739.633333333333,3.0,651602.0,313691.0,518372.0,3.0,112636.0,1038.5833333333333,0.0,1.0,1.0,0.0,0.0,1.0
3360.47,3360.47,3360.47,1.0,445588.0,445588.0,445588.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2672.51,2672.51,2672.51,1.0,742387.0,742387.0,742387.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4532.84,2294.7,3439.093333333333,6.0,986294.0,230631.0,648310.3333333334,6.0,125942.83333333333,372.02333333333337,0.0,1.0,1.0,1.0,1.0,0.0
3822.24,1870.09,3074.5066666666667,3.0,259642.0,214632.0,232523.66666666666,3.0,15002.333333333334,649.7166666666666,0.0,0.0,0.0,0.0,1.0,1.0
4597.94,1063.94,3158.42,4.0,752152.0,137185.0,359247.25,4.0,153740.75,882.4999999999999,1.0,1.0,1.0,0.0,0.0,0.0
4379.41,1882.98,2675.6025,4.0,848862.0,430343.0,586615.25,4.0,104628.75,623.1075,1.0,0.0,1.0,1.0,0.0,1.0
3560.36,3560.36,3560.36,1.0,502012.0,502012.0,502012.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3381.38,1529.79,2455.585,2.0,678668.0,190514.0,434591.0,2.0,244076.0,924.7950000000001,0.0,0.0,1.0,1.0,0.0,0.0
4410.51,3859.33,4134.92,2.0,913037.0,146849.0,529943.0,2.0,383093.0,274.59000000000015,1.0,0.0,0.0,0.0,0.0,1.0
4436.14,1752.95,3295.486,5.0,727629.0,122196.0,468631.8,5.0,121085.6,535.638,0.0,0.0,1.0,0.0,1.0,1.0
3570.91,2469.26,3020.085,2.0,959919.0,936297.0,948108.0,2.0,11810.0,549.8249999999998,0.0,0.0,0.0,0.0,1.0,1.0
2601.55,1095.1,1709.9,5.0,980681.0,269022.0,677470.2,5.0,142330.8,300.2900000000001,0.0,0.0,1.0,0.0,1.0,1.0
3545.0,1484.78,2520.866,5.0,715145.0,298305.0,495459.0,5.0,83367.0,411.04400000000004,1.0,1.0,1.0,0.0,0.0,1.0
3334.87,3334.87,3334.87,1.0,342619.0,342619.0,342619.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3759.46,1943.69,2851.575,2.0,677301.0,153478.0,415389.5,2.0,261910.5,906.885,0.0,0.0,0.0,0.0,1.0,1.0
2138.31,2138.31,2138.31,1.0,955095.0,955095.0,955095.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4682.21,4682.21,4682.21,1.0,955448.0,955448.0,955448.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3929.75,1097.22,2513.485,2.0,717210.0,252697.0,484953.5,2.0,232255.5,1415.2649999999999,1.0,1.0,0.0,0.0,0.0,0.0
4315.12,2141.55,3123.822,5.0,841814.0,163670.0,570333.6,5.0,135627.8,433.71399999999994,1.0,1.0,1.0,0.0,0.0,1.0
4264.95,1341.57,2657.324,5.0,961498.0,183836.0,739920.0,5.0,155531.4,583.676,1.0,1.0,1.0,0.0,1.0,0.0
1555.92,1555.92,1555.92,1.0,113148.0,113148.0,113148.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4911.39,1400.61,3823.422,5.0,847043.0,214437.0,555839.0,5.0,126520.2,701.1560000000002,1.0,1.0,0.0,1.0,1.0,0.0
4859.61,4432.34,4645.975,2.0,764983.0,370983.0,567983.0,2.0,196999.0,212.63499999999976,0.0,0.0,0.0,1.0,0.0,0.0
4436.67,1974.01,3423.8549999999996,4.0,675538.0,102295.0,399665.5,4.0,143309.75,614.665,1.0,1.0,0.0,1.0,0.0,0.0
4694.59,2828.06,3761.325,2.0,803894.0,231470.0,517682.0,2.0,286211.0,932.2650000000001,0.0,0.0,0.0,0.0,1.0,1.0
4252.97,4252.97,4252.97,1.0,910119.0,910119.0,910119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4899.58,1851.4,3453.0383333333334,6.0,572502.0,102106.0,310179.5,6.0,78398.33333333333,507.03,1.0,0.0,0.0,1.0,0.0,0.0
3401.7,1260.37,2522.68,3.0,490897.0,310893.0,421393.0,3.0,60000.333333333336,712.7766666666666,1.0,0.0,1.0,0.0,0.0,1.0
4586.45,1955.2,3526.608,5.0,783989.0,146942.0,465246.0,5.0,127408.4,525.25,0.0,1.0,0.0,1.0,1.0,1.0
4475.34,2323.79,3399.565,2.0,809058.0,500695.0,654876.5,2.0,154180.5,1074.775,0.0,1.0,0.0,0.0,1.0,0.0
4675.21,1550.27,3112.74,2.0,903769.0,597178.0,750473.5,2.0,153294.5,1561.47,1.0,0.0,0.0,0.0,0.0,0.0
3516.23,2015.82,2668.3333333333335,6.0,511595.0,115487.0,209040.5,6.0,66017.0,249.06833333333336,1.0,0.0,1.0,0.0,1.0,1.0
4296.75,1271.6,3091.0466666666666,3.0,831790.0,550404.0,716276.6666666666,3.0,93794.33333333333,1007.3833333333333,1.0,0.0,0.0,1.0,1.0,0.0
2920.9,1304.78,2143.3616666666667,6.0,787844.0,121772.0,473318.3333333333,6.0,111011.0,268.35333333333335,0.0,0.0,1.0,1.0,0.0,1.0
4649.49,4389.09,4519.29,2.0,627453.0,200435.0,413944.0,2.0,213508.0,129.19999999999982,0.0,1.0,0.0,1.0,0.0,0.0
2542.4,1274.4,1908.4,2.0,471798.0,317641.0,394719.5,2.0,77077.5,633.0,0.0,0.0,0.0,1.0,0.0,1.0
3637.79,2504.51,3088.5975,4.0,977223.0,173048.0,671169.25,4.0,201042.75,282.31999999999994,1.0,1.0,0.0,0.0,0.0,0.0
4157.22,3826.79,3992.005,2.0,747841.0,190269.0,469055.0,2.0,278785.0,164.21500000000015,1.0,0.0,0.0,1.0,0.0,0.0
4144.57,1433.83,2789.2,2.0,462238.0,410389.0,436313.5,2.0,25923.5,1354.37,1.0,0.0,0.0,0.0,0.0,1.0
4482.95,1154.54,2139.696,5.0,961583.0,321650.0,667185.8,5.0,127985.6,664.682,0.0,1.0,0.0,0.0,1.0,0.0
1932.76,1606.69,1769.725,2.0,818354.0,578916.0,698635.0,2.0,119718.0,162.03499999999997,0.0,1.0,0.0,0.0,1.0,0.0
4935.76,1864.88,3604.585,4.0,970812.0,642876.0,837583.25,4.0,81983.0,766.72,0.0,1.0,0.0,0.0,1.0,0.0
3380.71,3058.55,3219.63,2.0,680670.0,111875.0,396272.5,2.0,284396.5,160.07999999999993,0.0,1.0,1.0,0.0,0.0,0.0
4737.53,1394.93,2913.308,5.0,858754.0,450748.0,739761.8,5.0,81600.2,667.5199999999999,1.0,1.0,0.0,0.0,0.0,0.0
4287.5,2123.5,3518.72,3.0,714030.0,377022.0,530949.0,3.0,112335.0,720.3333333333334,0.0,0.0,0.0,1.0,1.0,0.0
4509.59,3692.46,4101.025,2.0,993751.0,670161.0,831956.0,2.0,161794.0,407.56500000000005,0.0,0.0,0.0,1.0,0.0,0.0
1213.01,1213.01,1213.01,1.0,752023.0,752023.0,752023.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2200.63,2200.63,2200.63,1.0,975586.0,975586.0,975586.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4704.07,1695.9,2871.6699999999996,3.0,682480.0,530664.0,593467.3333333334,3.0,50604.333333333336,1001.7233333333332,1.0,0.0,0.0,0.0,1.0,1.0
4577.92,2860.11,3719.0150000000003,2.0,485322.0,417524.0,451423.0,2.0,33898.0,857.905,0.0,1.0,0.0,1.0,0.0,0.0
4191.4,2709.77,3680.0066666666667,3.0,824970.0,448004.0,628293.0,3.0,125654.33333333333,492.87666666666655,0.0,1.0,0.0,1.0,0.0,0.0
4718.9,3328.19,4087.6133333333332,3.0,990993.0,121322.0,557379.6666666666,3.0,289889.3333333333,462.5699999999999,0.0,1.0,0.0,0.0,1.0,0.0
4453.54,1003.09,3434.3379999999997,5.0,569792.0,324705.0,449235.4,5.0,49016.4,689.0899999999999,1.0,1.0,0.0,0.0,1.0,1.0
3908.36,1553.44,2730.9,2.0,764819.0,652450.0,708634.5,2.0,56183.5,1176.46,1.0,1.0,0.0,0.0,0.0,0.0
4855.55,1201.21,2651.015,6.0,675791.0,278436.0,410173.6666666667,6.0,66224.83333333333,608.0566666666667,1.0,1.0,1.0,1.0,0.0,1.0
4369.97,1403.21,2571.39,3.0,929674.0,568179.0,790101.6666666666,3.0,120497.33333333333,987.9200000000001,0.0,0.0,1.0,0.0,1.0,0.0
3482.1,1223.38,2491.0299999999997,4.0,965122.0,164253.0,624090.0,4.0,200216.25,563.68,1.0,1.0,0.0,1.0,0.0,1.0
4881.38,2573.29,3727.335,2.0,564858.0,185710.0,375284.0,2.0,189573.0,1153.045,1.0,0.0,0.0,1.0,0.0,0.0
3255.52,1355.62,2055.116666666667,6.0,797595.0,263199.0,661679.1666666666,6.0,89065.0,315.65000000000003,0.0,1.0,1.0,1.0,1.0,1.0
4903.4,2255.24,3416.482,5.0,648079.0,291358.0,495868.4,5.0,71343.2,528.632,0.0,0.0,1.0,1.0,0.0,1.0
2950.13,2118.28,2432.6966666666667,3.0,922191.0,799647.0,846555.3333333334,3.0,40847.0,276.2833333333333,1.0,1.0,1.0,0.0,0.0,0.0
1778.04,1778.04,1778.04,1.0,620181.0,620181.0,620181.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3891.88,1550.44,2944.0,3.0,988039.0,346672.0,623760.0,3.0,213788.0,779.48,0.0,0.0,0.0,1.0,0.0,1.0
1962.18,1006.41,1484.295,2.0,414451.0,199370.0,306910.5,2.0,107539.5,476.88500000000005,0.0,0.0,0.0,1.0,0.0,0.0
4905.63,1781.25,3157.3116666666665,6.0,964663.0,108251.0,503591.0,6.0,142734.33333333334,519.73,1.0,0.0,1.0,0.0,1.0,1.0
3313.62,3313.62,3313.62,1.0,455829.0,455829.0,455829.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3104.65,3104.65,3104.65,1.0,543285.0,543285.0,543285.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2841.65,2401.59,2621.62,2.0,863257.0,211626.0,537441.5,2.0,325814.5,219.02999999999997,0.0,1.0,0.0,0.0,1.0,0.0
3675.85,3675.85,3675.85,1.0,716174.0,716174.0,716174.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4228.73,3802.26,3986.9266666666663,3.0,879165.0,759411.0,821712.6666666666,3.0,39917.0,141.15666666666644,1.0,0.0,0.0,0.0,1.0,1.0
4385.21,2048.65,2971.0283333333336,6.0,905288.0,113557.0,605565.6666666666,6.0,131954.16666666666,388.4266666666667,0.0,0.0,1.0,1.0,1.0,1.0
4605.46,1342.29,3015.4233333333336,6.0,744502.0,256470.0,512645.3333333333,6.0,81337.66666666667,542.8616666666667,1.0,0.0,1.0,0.0,1.0,0.0
4942.49,1183.79,3123.994,5.0,995000.0,338253.0,666332.4,5.0,131348.4,750.74,0.0,0.0,1.0,0.0,1.0,1.0
4109.61,4109.61,4109.61,1.0,676620.0,676620.0,676620.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4105.78,1587.92,2695.6339999999996,5.0,984909.0,177046.0,745192.4,5.0,161571.6,502.57199999999995,1.0,0.0,0.0,1.0,1.0,1.0
4941.05,1071.98,3154.5533333333333,6.0,977135.0,287618.0,723788.3333333334,6.0,114918.5,643.845,1.0,0.0,0.0,1.0,0.0,1.0
4779.65,1212.49,2929.2619999999997,5.0,844220.0,212609.0,559561.0,5.0,126321.2,712.432,1.0,1.0,1.0,0.0,1.0,0.0
3760.27,2474.89,3221.2850000000003,4.0,900493.0,281340.0,512953.75,4.0,154787.25,320.345,0.0,1.0,0.0,1.0,1.0,1.0
4444.34,1414.22,2853.7533333333336,6.0,965563.0,152932.0,529672.1666666666,6.0,135437.5,504.02000000000004,1.0,1.0,0.0,1.0,1.0,1.0
4927.68,1030.43,2582.5716666666667,6.0,871735.0,105208.0,411336.0,6.0,127753.5,648.5416666666667,1.0,1.0,0.0,1.0,0.0,0.0
4370.61,4370.61,4370.61,1.0,212995.0,212995.0,212995.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4272.17,1321.94,2512.681666666667,6.0,927756.0,287505.0,600137.5,6.0,106707.5,490.705,0.0,1.0,1.0,1.0,1.0,0.0
4622.87,1569.85,3463.2000000000003,6.0,528063.0,101435.0,392850.8333333333,6.0,71103.66666666667,507.83666666666664,1.0,1.0,0.0,0.0,1.0,1.0
3618.87,2027.8,2689.2066666666665,3.0,936764.0,138873.0,618869.6666666666,3.0,265962.6666666667,529.3566666666667,0.0,0.0,0.0,1.0,1.0,0.0
4400.89,1257.88,2476.1800000000003,3.0,847675.0,449308.0,649467.6666666666,3.0,132788.0,1046.67,1.0,0.0,1.0,0.0,1.0,0.0
4481.23,2009.72,3267.0525,4.0,762146.0,174893.0,414623.0,4.0,146812.25,616.8774999999998,0.0,1.0,1.0,0.0,1.0,0.0
2822.88,2822.88,2822.88,1.0,206466.0,206466.0,206466.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4303.73,1654.75,3151.566666666666,3.0,633348.0,331348.0,459048.3333333333,3.0,100665.66666666667,881.9933333333332,1.0,0.0,1.0,0.0,0.0,0.0
3955.82,1490.4,3230.484,5.0,911298.0,283625.0,529348.8,5.0,125533.6,492.084,1.0,1.0,0.0,1.0,1.0,1.0
3762.49,1033.45,2524.556666666667,6.0,953351.0,133168.0,586914.1666666666,6.0,136696.16666666666,453.8399999999999,1.0,0.0,1.0,1.0,1.0,0.0
4425.03,1485.05,2736.145,6.0,971705.0,387923.0,594066.8333333334,6.0,97296.0,488.9966666666666,1.0,1.0,1.0,0.0,1.0,1.0
4180.6,4180.6,4180.6,1.0,567225.0,567225.0,567225.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3491.3,1039.71,2281.3316666666665,6.0,952133.0,403708.0,692090.3333333334,6.0,91403.16666666667,407.59833333333336,0.0,1.0,0.0,1.0,1.0,0.0
4363.28,1548.16,3115.7166666666667,3.0,844591.0,660250.0,746521.0,3.0,61446.0,937.3733333333333,1.0,0.0,0.0,0.0,1.0,0.0
3817.49,1166.14,2814.9474999999998,4.0,584616.0,313489.0,408989.25,4.0,67780.75,661.8375,1.0,1.0,1.0,0.0,0.0,0.0
4240.34,2934.45,3513.0033333333336,3.0,907368.0,398419.0,659734.0,3.0,169648.66666666666,434.2966666666668,1.0,0.0,0.0,0.0,1.0,0.0
4232.56,2569.71,3771.476,5.0,559886.0,114169.0,317871.6,5.0,89142.4,331.57000000000005,1.0,0.0,1.0,1.0,0.0,0.0
4644.15,2248.19,3165.1583333333333,6.0,868845.0,105096.0,585306.6666666666,6.0,127290.5,398.3266666666666,1.0,1.0,1.0,0.0,1.0,0.0
4850.98,4015.25,4433.115,2.0,929112.0,143089.0,536100.5,2.0,393010.5,416.8649999999998,0.0,0.0,0.0,0.0,0.0,1.0
4905.02,1659.48,2739.038,5.0,765863.0,452936.0,661282.8,5.0,62584.4,648.1080000000001,1.0,1.0,1.0,1.0,1.0,0.0
4065.89,1804.95,2986.2799999999997,5.0,807549.0,536234.0,694692.0,5.0,54262.0,451.18799999999993,1.0,0.0,0.0,1.0,1.0,0.0
4719.16,1725.47,3463.71,4.0,647002.0,108465.0,436544.75,4.0,134633.25,747.4224999999999,1.0,1.0,0.0,0.0,1.0,0.0
2682.94,2682.94,2682.94,1.0,856490.0,856490.0,856490.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4649.09,2873.81,3755.8160000000003,5.0,786530.0,193663.0,574209.4,5.0,118572.4,354.05600000000004,0.0,1.0,1.0,0.0,1.0,1.0
4573.99,1104.02,2987.9640000000004,5.0,979878.0,232008.0,523375.4,5.0,149573.0,692.9939999999999,0.0,0.0,1.0,1.0,1.0,0.0
3615.62,3615.62,3615.62,1.0,812715.0,812715.0,812715.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4911.26,1398.2,2749.5500000000006,3.0,822638.0,214794.0,482616.3333333333,3.0,202613.66666666666,1170.0200000000002,0.0,0.0,1.0,1.0,0.0,1.0
4080.98,2513.97,3178.1633333333334,3.0,937429.0,400499.0,721356.0,3.0,178975.66666666666,521.3366666666667,1.0,0.0,0.0,0.0,0.0,1.0
4188.48,1492.85,3063.94,3.0,873066.0,362337.0,672954.3333333334,3.0,170242.0,897.5433333333332,0.0,1.0,0.0,0.0,1.0,1.0
4791.83,1392.57,2572.44,3.0,843118.0,100243.0,376667.3333333333,3.0,247624.0,1132.0866666666668,1.0,0.0,0.0,0.0,1.0,0.0
4915.56,1134.41,2702.8740000000003,5.0,851361.0,377823.0,635092.2,5.0,94706.6,755.2300000000001,1.0,0.0,1.0,0.0,1.0,1.0
3774.8,1173.46,2780.1020000000003,5.0,941991.0,166778.0,656219.6,5.0,155041.6,519.268,1.0,1.0,1.0,1.0,0.0,0.0
